language	tag	name
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_JOHN_A_ROEBLING	约翰·奥古斯都·罗布林
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_HELENA_RUBINSTEIN	赫莲娜
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_SUK_LAWSPEAKER_GISSUR_HALLSSON	吉苏尔·哈尔森
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_CHARLES_CORREA	查尔斯·柯里亚
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_ARTEMISIA	阿尔特米西亚
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_FRANCIS_OF_ASSISI	阿西西的方济各
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_SUK_LAWSPEAKER_GUNNAR_THORGRIMSSON	冈纳尔·索格里姆松
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_HD_CODIFIER_9	编撰官
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_HD_CODIFIER_5	编撰官
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_SUK_LAWSPEAKER_TEITUR_THORVALDSSON	泰图尔·索瓦尔德松
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_GIOTTO_DI_BONDONE_HD	乔托·迪·邦多纳
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_HD_CODIFIER_6	编撰官
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_HD_CODIFIER_7	编撰官
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_HD_CODIFIER_8	编撰官
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_HD_CODIFIER_1	编撰官
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_HD_CODIFIER_2	编撰官
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_HD_CODIFIER_3	编撰官
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_HD_CODIFIER_4	编撰官
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_LEIF_ERIKSON	雷夫·埃里克森
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_EMILIE_DU_CHATELET	埃米莉·杜·夏特莱
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_SUK_LAWSPEAKER_STURLA_THORTHARSON	斯图拉·索罗尔达尔森
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_GEORGY_ZHUKOV	格奥尔吉·朱可夫
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_HANNIBAL_BARCA	汉尼拔·巴卡
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_SUK_LAWSPEAKER_OLAFR_THORTHARSON	奥拉夫·索罗尔达尔森
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_SUK_LAWSPEAKER_MARKUS_SKEGGJASON	马库斯·斯科吉亚森
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_SUK_LAWSPEAKER_JON_EINARSSON	约恩·艾纳尔森
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_ANGELICA_KAUFFMAN	安杰丽卡·考夫曼
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_REMBRANDT_VAN_RIJN	伦勃朗·凡·莱因
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_AHMAD_SHAH_MASSOUD	阿哈默德·沙哈·马苏德
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_SUK_LAWSPEAKER_SNORRI_STURLUSON	斯诺里·斯图鲁森
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_SUK_LAWSPEAKER_HAUKR_ERLENDSSON	豪克·埃尔伦森
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_BORIS_ORLOVSKY	鲍里斯·奥洛夫斯基
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_FRANCIS_DRAKE	弗朗西斯·德瑞克
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_HD_SANCTUS_LEO	圣良一世
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_LASKARINA_BOUBOULINA	拉斯卡瑞娜·鲍宝丽娜
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_RABINDRANATH_TAGORE	拉宾德拉纳特·泰戈尔
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_MARGARET_CAVENDISH	玛格丽特·卡文迪什
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_BHASA	跋娑
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_JOHN_THE_BAPTIST	施洗者约翰
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_SUK_LAWSPEAKER_ULFLJOTR	乌尔夫约特
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_COMMANDANTE_MACGREGOR	格雷戈尔·麦格雷戈尔
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_SUK_LAWSPEAKER_STYRMIR_KARASON	斯蒂尔米尔·卡拉森
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_SUK_LAWSPEAKER_KOLBEINN_FLOSASON	科尔宾·弗洛萨森
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_FRANZ_VON_HIPPER	弗兰兹·冯·希佩尔
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_SUK_LAWSPEAKER_SKAFTI_THORODDSSON	斯卡普蒂·索罗罗德松
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_HD_SI_NONG_SI	司农司
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_COMMANDANTE_RIBAS	何塞·菲利克斯·里瓦斯
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_COMMANDANTE_PIAR	曼努埃尔·皮亚尔
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_SUK_LAWSPEAKER_BERGTHOR_HRAFNSSON	贝格索尔·赫拉夫森
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_SANTA_CRUZ	圣·克鲁斯
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_SUK_LAWSPEAKER_ULFHETHINN_GUNNARSSON	奥夫海因·冈纳松
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_DIMITRIE_CANTEMIR	德米特里·坎特米尔
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_SIDDHARTHA_GAUTAMA	悉达多·乔达摩
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_EDGAR_ALLEN_POE	埃德加·艾伦·坡
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_SARAH_BREEDLOVE	莎拉·布里德洛夫
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_LEVI_STRAUSS	李维·史特劳斯
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_SUK_LAWSPEAKER_THORGEIR_LJOSVETNINGAGODI	索吉尔·约斯韦特宁加戈迪
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_HD_CROESUS	克罗索斯
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_KAMAL_UD_DIN_BEHZAD	贝赫扎德
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_ERWIN_SCHRODINGER	埃尔文·薛定谔
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_MELITTA_BENTZ	梅丽塔·本茨
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_IBN_FADLAN	伊本·法德兰
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_SUK_LAWSPEAKER_KETILL_THORLAKSSON	凯迪尔·索尔拉克森
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_SUK_LAWSPEAKER_HRAFN_HAENGSSON	赫拉芬·海格森
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_AMRITA_SHER_GIL	阿姆瑞塔·谢吉尔
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_GUSTAVUS_ADOLPHUS	古斯塔夫·阿道弗斯
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_HD_CODIFIER_24	编撰官
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_HD_CODIFIER_23	编撰官
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_HD_CODIFIER_22	编撰官
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_HD_CODIFIER_21	编撰官
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_JOAQUIM_MARQUES_LISBOA	若阿金·马奎斯·葡京
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_HD_CODIFIER_20	编撰官
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_SHEN_RONG_PU_HD	沈蓉圃
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_HD_CODIFIER_19	编撰官
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_HD_CODIFIER_18	编撰官
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_JANE_DREW	简·德鲁
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_HD_CODIFIER_13	编撰官
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_HD_CODIFIER_12	编撰官
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_HD_CODIFIER_11	编撰官
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_HD_CODIFIER_10	编撰官
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_COMMANDANTE_MARINO	圣地亚哥·马里尼奥
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_HD_CODIFIER_17	编撰官
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_HD_CODIFIER_16	编撰官
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_FRANCESCO_LANDINI_HD	弗朗切斯科·兰迪尼
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_HD_CODIFIER_15	编撰官
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_HD_CODIFIER_14	编撰官
zh_Hans_CN	BUILDING_HUEY_TEOCALLI	特诺奇蒂特兰大神庙
zh_Hans_CN	BUILDING_MEENAKSHI_TEMPLE	米纳克希神庙
zh_Hans_CN	BUILDING_ST_BASILS_CATHEDRAL	瓦西里升天教堂
zh_Hans_CN	NAT_WONDER_CL_COLLEGE	国立学院
zh_Hans_CN	BUILDING_ETEMENANKI	埃特曼安吉神庙
zh_Hans_CN	BUILDING_TERRACOTTA_ARMY	兵马俑
zh_Hans_CN	BUILDING_APADANA	阿帕达纳宫
zh_Hans_CN	NAT_WONDER_CL_CITADEL	大本营
zh_Hans_CN	NAT_WONDER_CL_IRONWORKS	大铁厂
zh_Hans_CN	BUILDING_PORCELAIN_TOWER	大报恩寺
zh_Hans_CN	BUILDING_PETRA	佩特拉卡兹尼神殿
en_US	GREAT_PERSON_INDIVIDUAL_SUK_LAWSPEAKER_GISSUR_HALLSSON	Gissur Hallsson
en_US	GREAT_PERSON_INDIVIDUAL_WANG_BAO_CHANG_HD	Wang Baochang
en_US	GREAT_PERSON_INDIVIDUAL_SI_MA_QIAN	Si Maqian
en_US	GREAT_PERSON_INDIVIDUAL_HD_YUAN_WAN_QING	Yuan Wanqing
en_US	GREAT_PERSON_INDIVIDUAL_HD_ALI_MUGHAYAT_SYAH	Malik al-Saleh
en_US	GREAT_PERSON_INDIVIDUAL_SUK_LAWSPEAKER_GUNNAR_THORGRIMSSON	Gunnar Þorgrímsson
en_US	GREAT_PERSON_INDIVIDUAL_HD_CODIFIER_9	Codifier
en_US	GREAT_PERSON_INDIVIDUAL_HD_CODIFIER_5	Codifier
en_US	GREAT_PERSON_INDIVIDUAL_SUK_LAWSPEAKER_TEITUR_THORVALDSSON	Teitur Þorvaldsson
en_US	GREAT_PERSON_INDIVIDUAL_HD_CODIFIER_6	Codifier
en_US	GREAT_PERSON_INDIVIDUAL_HD_CODIFIER_7	Codifier
en_US	GREAT_PERSON_INDIVIDUAL_HD_CODIFIER_8	Codifier
en_US	GREAT_PERSON_INDIVIDUAL_HD_CODIFIER_1	Codifier
en_US	GREAT_PERSON_INDIVIDUAL_HD_CODIFIER_2	Codifier
en_US	GREAT_PERSON_INDIVIDUAL_HD_CODIFIER_3	Codifier
en_US	GREAT_PERSON_INDIVIDUAL_HD_CODIFIER_4	Codifier
en_US	GREAT_PERSON_INDIVIDUAL_MAO_MIN_ZHONG_HD	Mao Minzhong
en_US	GREAT_PERSON_INDIVIDUAL_MAO_YAN_SHOU_HD	Mao Yanshou
